DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
5,Friday,7AM,6PM,24MFF-00006,2901 03RD ST,Truck located on the Illinois St frontage approximately 130 linear feet south of the Illinois and 25th St frontage.,"Tacos, Burritos, Tortas, Quesadillas, Chips & Salsa & Various Beverages",1764689,,07:00,18:00,194101,03/21/2013 11:11:33 AM,03/21/2013 11:11:54 AM,4296,010,N,Tacos El Flaco,6015963.49535,2102090.58042,37.752836626915702,-122.387671153653258,"(37.7528366269157, -122.38767115365326)"
3,Wednesday,7AM,6PM,24MFF-00006,2901 03RD ST,Truck located on the Illinois St frontage approximately 130 linear feet south of the Illinois and 25th St frontage.,"Tacos, Burritos, Tortas, Quesadillas, Chips & Salsa & Various Beverages",1764689,,07:00,18:00,194101,03/21/2013 11:11:33 AM,03/21/2013 11:11:54 AM,4296,010,N,Tacos El Flaco,6015963.49535,2102090.58042,37.752836626915702,-122.387671153653258,"(37.7528366269157, -122.38767115365326)"
6,Saturday,7AM,6PM,24MFF-00006,2901 03RD ST,Truck located on the Illinois St frontage approximately 130 linear feet south of the Illinois and 25th St frontage.,"Tacos, Burritos, Tortas, Quesadillas, Chips & Salsa & Various Beverages",1764689,,07:00,18:00,194101,03/21/2013 11:11:33 AM,03/21/2013 11:11:54 AM,4296,010,N,Tacos El Flaco,6015963.49535,2102090.58042,37.752836626915702,-122.387671153653258,"(37.7528366269157, -122.38767115365326)"
2,Tuesday,7AM,6PM,24MFF-00006,2901 03RD ST,Truck located on the Illinois St frontage approximately 130 linear feet south of the Illinois and 25th St frontage.,"Tacos, Burritos, Tortas, Quesadillas, Chips & Salsa & Various Beverages",1764689,,07:00,18:00,194101,03/21/2013 11:11:33 AM,03/21/2013 11:11:54 AM,4296,010,N,Tacos El Flaco,6015963.49535,2102090.58042,37.752836626915702,-122.387671153653258,"(37.7528366269157, -122.38767115365326)"
1,Monday,7AM,6PM,24MFF-00006,2901 03RD ST,Truck located on the Illinois St frontage approximately 130 linear feet south of the Illinois and 25th St frontage.,"Tacos, Burritos, Tortas, Quesadillas, Chips & Salsa & Various Beverages",1764689,,07:00,18:00,194101,03/21/2013 11:11:33 AM,03/21/2013 11:11:54 AM,4296,010,N,Tacos El Flaco,6015963.49535,2102090.58042,37.752836626915702,-122.387671153653258,"(37.7528366269157, -122.38767115365326)"
4,Thursday,7AM,6PM,24MFF-00006,2901 03RD ST,Truck located on the Illinois St frontage approximately 130 linear feet south of the Illinois and 25th St frontage.,"Tacos, Burritos, Tortas, Quesadillas, Chips & Salsa & Various Beverages",1764689,,07:00,18:00,194101,03/21/2013 11:11:33 AM,03/21/2013 11:11:54 AM,4296,010,N,Tacos El Flaco,6015963.49535,2102090.58042,37.752836626915702,-122.387671153653258,"(37.7528366269157, -122.38767115365326)"
1,Monday,10AM,6PM,21MFF-00011,3055 23RD ST,10am to 6pm Mon thru Friday,"Burritos, Giros, Tortas, Quesadillas, Tacos & Various Beverages",1509787,,10:00,18:00,1260000,05/27/2011 03:38:38 PM,05/27/2011 03:40:23 PM,3640,039,N,El Gallo Jiro,6008603.01478,2102703.03437,37.754107828201967,-122.413168445666599,"(37.75410782820197, -122.4131684456666)"
4,Thursday,11AM,2PM,23MFF-00013,300 PINE ST,Truck located 60 linear feet West of the Sansome St. & Pine St. intersection.,"Filipino fusion food: tacos, burritos, nachos, rice plates. Various beverages.",1729543,,11:00,14:00,10456000,04/10/2012 02:57:50 PM,04/10/2012 03:04:09 PM,0260,005,N,Senor Sisig,6012411.69042,2116483.85601,37.792159914039125,-122.400965227070174,"(37.792159914039125, -122.40096522707017)"
4,Thursday,8AM,4PM,18MFF-0034,525 MARKET ST,,Chai Tea,1174531,,08:00,16:00,8742101,06/28/2011 12:28:38 PM,06/28/2011 12:29:42 PM,3708,056,N,CC Acquisition LLC,6012784.15414,2115869.60519,37.790494095649343,-122.399633341676733,"(37.79049409564934, -122.39963334167673)"
2,Tuesday,10AM,4PM,18MFF-0004,401 TREAT AVE,Located on the West side of the Harrison St frontage at the corner of 17th St,"Tacos, Burritos, Tortas, Quesadillas, Drinks",1089697,,10:00,16:00,6746000,03/04/2011 11:50:24 AM,03/04/2011 11:56:56 AM,3573,023,N,El Tonayense #60,6008569.45364,2106219.67883,37.763761847259403,-122.413533208474036,"(37.7637618472594, -122.41353320847404)"
1,Monday,10AM,11AM,19MFF-00041,245 01ST ST,Set-up at 275 1st St: 10:25am-10:30am,"Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages",1332935,,10:00,11:00,110000,05/09/2011 01:06:25 PM,05/09/2011 01:06:42 PM,3737,012,Y,Mini Mobile Food Catering,6014118.92075,2114840.88759,37.78774378840766,-122.394943017482845,"(37.78774378840766, -122.39494301748284)"
1,Monday,8AM,9AM,19MFF-00055,2111 LANE ST,8:10am-8:25am,"Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies",1336744,,08:00,09:00,8095000,03/28/2012 04:30:36 PM,03/28/2012 04:33:05 PM,5387,022,Y,Quan Catering,6014430.52562,2093475.3221,37.729095881394009,-122.392369958154532,"(37.72909588139401, -122.39236995815453)"
4,Thursday,9AM,5PM,17MFF-0155,101 BAY SHORE BLVD,9:30am-4:30am,"various styles of hot dogs & sausages, chips, breakfast sandwiches, chili, soda, water,",948140,,09:00,17:00,7504000,05/10/2011 01:32:57 PM,07/12/2011 04:40:49 PM,5559,018,N,Eli's Hot Dogs,6011352.54394,2100328.84516,37.747742798432483,-122.403492827443529,"(37.74774279843248, -122.40349282744353)"
2,Tuesday,12PM,1PM,17MFF-0182,800 JAMESTOWN AVE,12:45pm-1:00pm,"Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA",963981,,12:00,13:00,7428000,09/14/2011 09:31:35 AM,09/14/2011 09:31:51 AM,4973,034,Y,Singh Brothers Ice Cream,6015030.29474,2088771.04143,37.716212143537298,-122.389968007493223,"(37.7162121435373, -122.38996800749322)"
4,Thursday,8AM,9AM,19MFF-00055,2190 CESAR CHAVEZ ST,8:30am-8:35am,"Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies",1336736,,08:00,09:00,2476000,03/28/2012 04:35:41 PM,03/28/2012 04:36:02 PM,4324,002,Y,Quan Catering,6012858.69226,2101002.53695,37.749676624187273,-122.398331872465462,"(37.74967662418727, -122.39833187246546)"
4,Thursday,10AM,9PM,19MFF-00112,1020 03RD ST,West side of 3rd St 10am-8:30pm,"sunflower seeds, crackerjacks, bottled water, peanuts, candy",1343831,,10:00,21:00,184001,06/20/2011 10:45:38 AM,06/20/2011 10:46:07 AM,8714,002,N,Got Snacks,6015443.07217,2110503.61845,37.775908165408772,-122.390058556767457,"(37.77590816540877, -122.39005855676746)"
5,Friday,9AM,3PM,18MFF-0088,400 CALIFORNIA ST,Truck located on California St in parking meter #04140,"Daily rotating menus consisting of various local & organic vegetable, poultry, meat, seafood , rice & bread dishes.",1199051,,09:00,15:00,3528000,10/31/2013 02:44:31 PM,10/31/2013 02:44:46 PM,0239,003,N,Munch India,6012361.8054,2116831.37598,37.793111338624819,-122.401162261587672,"(37.79311133862482, -122.40116226158767)"
3,Wednesday,10AM,11AM,18MFF-0028,85 02ND ST,"Set-up at 580 Mission St: 7:00am-7:05am, 10:00am-10:10am, 12:00pm-12:10pm","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.",1163789,,10:00,11:00,131000,08/31/2011 03:31:13 PM,08/31/2011 03:32:09 PM,3708,019,Y,"SOHOMEI, LLC",6012660.25138,2115054.74519,37.788249774149101,-122.400004792044683,"(37.7882497741491, -122.40000479204468)"
6,Saturday,10AM,10PM,22MFF-00071,409 ILLINOIS ST,Truck located approximately 200LF south of 16th Street,Bonito Poke Bowls & Various Drinks,1658696,,10:00,22:00,7165000,07/31/2017 03:34:26 PM,08/14/2017 12:32:53 PM,3940,003,N,Bonito Poke,6015948.27353,2107171.45436,37.766786779295607,-122.388078331989405,"(37.76678677929561, -122.3880783319894)"
3,Wednesday,10AM,3PM,21MFF-00153,536 MISSION ST,Truck located in meter # 552,"Baos, bowls & drinks",1587524,,10:00,15:00,9089000,02/26/2018 01:53:45 PM,02/26/2018 01:54:00 PM,3708,098,N,"Chairman SF, LLC",6013121.83996,2115378.43509,37.789164275278559,-122.398430483219116,"(37.78916427527856, -122.39843048321912)"
5,Friday,6AM,8AM,19MFF-00041,Assessors Block 4341/Lot001,1605 Kansas St: 6:30am-7:25am,"Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages",1332947,,06:00,08:00,7740000,05/09/2011 12:18:00 PM,05/09/2011 12:18:44 PM,4341,001,Y,Mini Mobile Food Catering,6011939.508,2100756.7,37.748950363427056,-122.401493189708219,"(37.748950363427056, -122.40149318970822)"
1,Monday,8AM,9AM,19MFF-00041,Assessors Block 4341/Lot001,1605 Kansas St: 6:30am-7:25am,"Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages",1332947,,08:00,09:00,7740000,05/09/2011 12:18:00 PM,05/09/2011 12:18:44 PM,4341,001,Y,Mini Mobile Food Catering,6011939.508,2100756.7,37.748950363427056,-122.401493189708219,"(37.748950363427056, -122.40149318970822)"
3,Wednesday,6AM,12AM,19MFF-00001,331 POWELL ST,,"American Food: Hot dogs, pretzels, ice cream, salads, beverages, sandwiches, soup, coffee, pastries,etc.",1265569,,06:00,24:00,10678000,01/07/2019 01:10:05 PM,01/07/2019 01:11:08 PM,0307,001,N,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6010244.55558,2114884.71706,37.7876479381666,-122.408350737210554,"(37.7876479381666, -122.40835073721055)"
1,Monday,10AM,12PM,22MFF-00021,501 02ND ST,10:30am-12:00pm,"Mexican Food, Yucatan Food, Street Food",1591824,,10:00,12:00,142000,07/28/2011 02:29:05 PM,07/28/2011 02:29:23 PM,3774,067,N,Cochinita,6014484.53785,2113145.45519,37.783108842973789,-122.393559337459919,"(37.78310884297379, -122.39355933745992)"
